multiplier,generation,strategy,share
Constant(1),12,TFT2,0.15223000438493825
Constant(1),12,Grim,0.12455081582045181
Constant(1),12,GenerousTfT,0.1571879678239296
Constant(1),12,ContriteTfT,0.14775423932855467
Constant(1),12,Pavlov,0.12518368545241884
Constant(1),13,AllC,0.12423574954196168
Constant(1),13,AllD,0.00044145621179235797
Constant(1),13,Random,0.0073278322971822496
Constant(1),13,TfT,0.1484567091467249
Constant(1),13,SuspiciousTfT,0.009642794654430091
Constant(1),13,TFT2,0.15308160647498453
Constant(1),13,Grim,0.12467130533611329
Constant(1),13,GenerousTfT,0.15817350478970327
Constant(1),13,ContriteTfT,0.14845670914672485
Constant(1),13,Pavlov,0.12551233240038276
Constant(1),14,AllC,0.12464545463015704
Constant(1),14,AllD,0.00027366187351735683
Constant(1),14,Random,0.005833127374355584
Constant(1),14,TfT,0.1490181896661307
Constant(1),14,SuspiciousTfT,0.007951711046505683
Constant(1),14,TFT2,0.15377097023651784
Constant(1),14,Grim,0.12474715827406548
Constant(1),14,GenerousTfT,0.158971170518324
Constant(1),14,ContriteTfT,0.14901818966613062
Constant(1),14,Pavlov,0.12577036671429576
Constant(1),15,AllC,0.1249827088422586
Constant(1),15,AllD,0.00016936423597600536
Constant(1),15,Random,0.0046401288968611265
Constant(1),15,TfT,0.14946819434924144
Constant(1),15,SuspiciousTfT,0.006557591805169233
Constant(1),15,TFT2,0.15433037590980206
Constant(1),15,Grim,0.12479208153473882
Constant(1),15,GenerousTfT,0.15961787959348092
Constant(1),15,ContriteTfT,0.14946819434924136
Constant(1),15,Pavlov,0.12597348048323054
Constant(1),16,AllC,0.1252605398891208
Constant(1),16,AllD,0.00010468224787522612
Constant(1),16,Random,0.0036891913489851534
Constant(1),16,TfT,0.1498297072014291
Constant(1),16,SuspiciousTfT,0.005408385426118311
Constant(1),16,TFT2,0.1547852718546213
Constant(1),16,Grim,0.1248158039776737
Constant(1),16,GenerousTfT,0.16014298478835193
Constant(1),16,ContriteTfT,0.14982970720142902
Constant(1),16,Pavlov,0.12613372606439552
Constant(1),17,AllC,0.12548956890422067
Constant(1),17,AllD,6.463886426228315e-05
Constant(1),17,Random,0.0029319594876535946
Constant(1),17,TfT,0.15012071869303434
Constant(1),17,SuspiciousTfT,0.0044610443810801665
Constant(1),17,TFT2,0.15515582979185172
Constant(1),17,Grim,0.1248252192837675
Constant(1),17,GenerousTfT,0.16056990244050526
Constant(1),17,ContriteTfT,0.15012071869303428
Constant(1),17,Pavlov,0.12626039946059028
Constant(1),18,AllC,0.1256784713062302
Constant(1),18,AllD,3.98823226195745e-05
Constant(1),18,Random,0.0023294364798461227
Constant(1),18,TfT,0.150355382707972
Constant(1),18,SuspiciousTfT,0.003680042181704167
Constant(1),18,TFT2,0.15545812392847075
Constant(1),18,Grim,0.12482519979757431
Constant(1),18,GenerousTfT,0.1609173761641965
Constant(1),18,ContriteTfT,0.15035538270797194
Constant(1),18,Pavlov,0.12636070240341435
Constant(1),19,AllC,0.1258343467289807
Constant(1),19,AllD,2.4592799569354117e-05
Constant(1),19,Random,0.0018502945143788303
Constant(1),19,TfT,0.15054488794067714
Constant(1),19,SuspiciousTfT,0.0030360948468575394
Constant(1),19,TFT2,0.15570502548805085
Constant(1),19,Grim,0.12481917481169466
Constant(1),19,GenerousTfT,0.161200457060488
