horizon,coop_avg,defect_avg,coop_wins
10,33.29466090284851,25.27928176051251,True
50,714.976073586593,346.01986989962387,True
100,13287.046778112213,4421.035500856611,True
200,4374581.149135084,1034324.5320728315,True
500,168589865366840.53,33188561837456.72,True
1000,7.570823335034356e+26,1.4749488123014772e+26,True
