multiplier_name,strat_a,strat_b,repetition,total_a,total_b,coop_rate_a,coop_rate_b,rounds
Constant(1),GenerousTfT,TFT2,0,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,Grim,0,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,GenerousTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,ContriteTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,Pavlov,0,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,AllC,0,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,AllD,0,199.0,204.0,0.005,0.0,200
Constant(1),ContriteTfT,Random,0,422.0,427.0,0.45,0.445,200
Constant(1),ContriteTfT,TfT,0,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,SuspiciousTfT,0,500.0,500.0,0.5,0.5,200
Constant(1),ContriteTfT,TFT2,0,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,Grim,0,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,GenerousTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,ContriteTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,Pavlov,0,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,AllC,0,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,AllD,0,100.0,600.0,0.5,0.0,200
Constant(1),Pavlov,Random,0,418.0,458.0,0.485,0.445,200
Constant(1),Pavlov,TfT,0,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,SuspiciousTfT,0,401.0,401.0,0.335,0.335,200
Constant(1),Pavlov,TFT2,0,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,Grim,0,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,GenerousTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,ContriteTfT,0,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,Pavlov,0,600.0,600.0,1.0,1.0,200
Constant(1),AllC,AllC,1,600.0,600.0,1.0,1.0,200
Constant(1),AllC,AllD,1,0.0,1000.0,1.0,0.0,200
Constant(1),AllC,Random,1,267.0,822.0,1.0,0.445,200
Constant(1),AllC,TfT,1,600.0,600.0,1.0,1.0,200
Constant(1),AllC,SuspiciousTfT,1,597.0,602.0,1.0,0.995,200
Constant(1),AllC,TFT2,1,600.0,600.0,1.0,1.0,200
Constant(1),AllC,Grim,1,600.0,600.0,1.0,1.0,200
Constant(1),AllC,GenerousTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),AllC,ContriteTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),AllC,Pavlov,1,600.0,600.0,1.0,1.0,200
Constant(1),AllD,AllC,1,1000.0,0.0,0.0,1.0,200
Constant(1),AllD,AllD,1,200.0,200.0,0.0,0.0,200
Constant(1),AllD,Random,1,556.0,111.0,0.0,0.445,200
Constant(1),AllD,TfT,1,204.0,199.0,0.0,0.005,200
Constant(1),AllD,SuspiciousTfT,1,200.0,200.0,0.0,0.0,200
Constant(1),AllD,TFT2,1,208.0,198.0,0.0,0.01,200
Constant(1),AllD,Grim,1,204.0,199.0,0.0,0.005,200
Constant(1),AllD,GenerousTfT,1,288.0,178.0,0.0,0.11,200
Constant(1),AllD,ContriteTfT,1,204.0,199.0,0.0,0.005,200
Constant(1),AllD,Pavlov,1,600.0,100.0,0.0,0.5,200
Constant(1),Random,AllC,1,822.0,267.0,0.445,1.0,200
Constant(1),Random,AllD,1,111.0,556.0,0.445,0.0,200
Constant(1),Random,Random,1,378.0,378.0,0.445,0.445,200
Constant(1),Random,TfT,1,427.0,422.0,0.445,0.45,200
Constant(1),Random,SuspiciousTfT,1,423.0,423.0,0.445,0.445,200
Constant(1),Random,TFT2,1,588.0,353.0,0.445,0.68,200
Constant(1),Random,Grim,1,115.0,555.0,0.445,0.005,200
Constant(1),Random,GenerousTfT,1,482.0,402.0,0.445,0.525,200
Constant(1),Random,ContriteTfT,1,427.0,422.0,0.445,0.45,200
Constant(1),Random,Pavlov,1,458.0,418.0,0.445,0.485,200
